market,timestamp,bar_index,position_side_before_manage,position_side_after_manage,runtime_close,avg_entry,atr_unscaled,runtime_price_scale,runtime_add_on_profit_distance,profit_threshold_price,runtime_in_profit,len_trades,len_trades_lt_2_pass,add_on_gap_bars_pass,all_long2_gates_passed,add_long_signal,bars_since_long1_entry,active_long_entry_timestamp,position_size
BCHUSDT,2021-04-05T08:00:00+00:00,2905,long,long,5.968200000000001e-06,5.7501e-06,19.44890577981742,1e-08,1.5559124623853935e-07,5.90569124623854e-06,True,1,True,True,True,True,2,2021-04-05T00:00:00+00:00,174353523.0
BCHUSDT,2021-02-12T20:00:00+00:00,2596,long,long,5.7643e-06,4.9485e-06,22.43254025575827,1e-08,1.7946032204606618e-07,5.1279603220460664e-06,True,1,True,True,True,True,12,2021-02-10T20:00:00+00:00,101102675.0
BCHUSDT,2021-04-13T08:00:00+00:00,2953,long,long,7.1701e-06,6.7352e-06,24.751451129247872,1e-08,1.9801160903398299e-07,6.933211609033983e-06,True,1,True,True,True,True,2,2021-04-13T00:00:00+00:00,149002048.0
BCHUSDT,2024-12-06T16:00:00+00:00,10953,long,long,6.3660000000000005e-06,5.665e-06,26.286291386669063,1e-08,2.1029033109335253e-07,5.875290331093352e-06,True,1,True,True,True,True,12,2024-12-04T16:00:00+00:00,88584766.0
BCHUSDT,2021-01-09T16:00:00+00:00,2391,long,long,5.4437e-06,4.309e-06,29.50796485689998,1e-08,2.3606371885519988e-07,4.5450637188552e-06,True,1,True,True,True,True,9,2021-01-08T04:00:00+00:00,231331504.0
BCHUSDT,2021-05-03T04:00:00+00:00,3072,long,long,1.0219e-05,9.712000000000001e-06,30.889830156898164,1e-08,2.471186412551853e-07,9.959118641255187e-06,True,1,True,True,True,True,6,2021-05-02T04:00:00+00:00,103435222.0
BCHUSDT,2021-05-05T08:00:00+00:00,3085,long,long,1.2e-05,1.08709e-05,60.95508901314726,1e-08,4.876407121051782e-07,1.1358540712105177e-05,True,1,True,True,True,True,2,2021-05-05T00:00:00+00:00,92375038.0
BNBUSDT,2019-02-04T08:00:00+00:00,134,long,long,6.9129e-08,6.7887e-08,0.15226513585032206,1e-08,1.2181210868025766e-09,6.910512108680258e-08,True,1,True,True,True,True,3,2019-02-03T20:00:00+00:00,14722999246.0
BNBUSDT,2019-02-24T08:00:00+00:00,254,long,long,1.0900000000000001e-07,1.0532999999999999e-07,0.26602357761138334,1e-08,2.128188620891067e-09,1.0745818862089106e-07,True,1,True,True,True,True,17,2019-02-21T12:00:00+00:00,9507987495.0
BNBUSDT,2019-02-08T16:00:00+00:00,160,long,long,8.4842e-08,7.9307e-08,0.32068496161357646,1e-08,2.5654796929086117e-09,8.18724796929086e-08,True,1,True,True,True,True,4,2019-02-08T00:00:00+00:00,12615734457.0
BNBUSDT,2019-03-05T00:00:00+00:00,306,long,long,1.21617e-07,1.1162000000000002e-07,0.3901622032817554,1e-08,3.121297626254043e-09,1.1474129762625406e-07,True,1,True,True,True,True,3,2019-03-04T12:00:00+00:00,8967683445.0
BNBUSDT,2020-09-01T16:00:00+00:00,3581,long,long,2.4850000000000003e-07,2.33278e-07,0.5651891544910224,1e-08,4.521513235928179e-09,2.377995132359282e-07,True,1,True,True,True,True,3,2020-09-01T04:00:00+00:00,4293585074.0
