market,trade_tag,side,entry_timestamp,exit_timestamp,entry_bar,exit_bar,duration_bars,entry_price,exit_price,pnl,return_pct,exit_mechanism_label,exit_mechanism_detail,exact_close_event,matched_event_bar,matched_event_timestamp,tp1_occurred,tp2_occurred,trailing_stop_occurred,stop_assignment_occurred,stop_hit_occurred_proxy,trend_fail_occurred,add_on_interaction_occurred,add_on_entry_before_exit,latest_stop_kind,latest_stop_price,exit_to_stop_distance_pct,classification_confidence,notes
DOTUSDT,Long2,long,2021-05-10 00:00:00+00:00,2021-05-10 16:00:00+00:00,1518,1522,4.0,41.42,38.36737420787177,-36.23531042502881,-0.07369931897943582,stop_hit_proxy:long_trailing_stop,latest trade.sl assignment before unmatched close; broker stop reason not exported,False,1521,2021-05-10 12:00:00+00:00,False,False,True,True,True,False,True,False,long_trailing_stop,3.836737420787177e-07,99999999.0,proxy,Research-only instrumentation; stop-hit labels are proxies where broker reason is unavailable.
DOTUSDT,Long1,long,2021-05-08 00:00:00+00:00,2021-05-10 16:00:00+00:00,1506,1522,16.0,39.977,38.36737420787177,-39.99255221408952,-0.04026379648618528,stop_hit_proxy:long_trailing_stop,latest trade.sl assignment before unmatched close; broker stop reason not exported,False,1521,2021-05-10 12:00:00+00:00,False,False,True,True,True,False,True,True,long_trailing_stop,3.836737420787177e-07,99999999.0,proxy,Research-only instrumentation; stop-hit labels are proxies where broker reason is unavailable.
DOTUSDT,Long1,long,2021-05-16 00:00:00+00:00,2021-05-16 16:00:00+00:00,1554,1558,4.0,44.431,40.18899574533298,-94.75664037063741,-0.09547397660793178,stop_hit_proxy:long_trailing_stop,latest trade.sl assignment before unmatched close; broker stop reason not exported,False,1557,2021-05-16 12:00:00+00:00,False,False,True,True,True,False,False,False,long_trailing_stop,4.018899574533298e-07,99999999.0,proxy,Research-only instrumentation; stop-hit labels are proxies where broker reason is unavailable.
DOTUSDT,Long1,long,2021-08-17 00:00:00+00:00,2021-08-17 16:00:00+00:00,2112,2116,4.0,26.774000000000004,24.972999318656765,-66.6969979560683,-0.06726677677385662,stop_hit_proxy:long_base_stop,latest trade.sl assignment before unmatched close; broker stop reason not exported,False,2115,2021-08-17 12:00:00+00:00,False,False,False,True,True,False,False,False,long_base_stop,2.4972999318656766e-07,99999999.0,proxy,Research-only instrumentation; stop-hit labels are proxies where broker reason is unavailable.
DOTUSDT,Long1,long,2021-08-22 20:00:00+00:00,2021-08-24 12:00:00+00:00,2147,2157,10.0,27.685,26.51375439840364,-41.91917060860506,-0.04230614417902678,stop_hit_proxy:long_trailing_stop,latest trade.sl assignment before unmatched close; broker stop reason not exported,False,2156,2021-08-24 08:00:00+00:00,False,False,True,True,True,False,False,False,long_trailing_stop,2.6513754398403644e-07,99999998.99999999,proxy,Research-only instrumentation; stop-hit labels are proxies where broker reason is unavailable.
DOTUSDT,Long2,long,2021-08-31 04:00:00+00:00,2021-08-31 08:00:00+00:00,2197,2198,1.0,27.6,28.76,10.302538283199974,0.04202898550724621,long_tp1_partial_close,position.close(portion=partial_exit_pct),True,2198,2021-08-31 08:00:00+00:00,True,False,False,True,False,False,True,False,long_breakeven_floor_stop,2.70637837629783e-07,106267475.31401795,exact,Research-only instrumentation; explicit strategy close event matched.
DOTUSDT,Long1,long,2021-08-31 00:00:00+00:00,2021-08-31 08:00:00+00:00,2196,2198,2.0,26.690000000000005,28.76,38.407230183599935,0.0775571375046833,long_tp1_partial_close,position.close(portion=partial_exit_pct),True,2198,2021-08-31 08:00:00+00:00,True,False,False,True,False,False,True,True,long_breakeven_floor_stop,2.70637837629783e-07,106267475.31401795,exact,Research-only instrumentation; explicit strategy close event matched.
DOTUSDT,Long2,long,2021-08-31 04:00:00+00:00,2021-09-03 00:00:00+00:00,2197,2214,17.0,27.6,30.950827491306725,29.760369371307707,0.12140679316328717,stop_hit_proxy:long_trailing_stop,latest trade.sl assignment before unmatched close; broker stop reason not exported,False,2213,2021-09-02 20:00:00+00:00,True,True,True,True,True,False,True,False,long_trailing_stop,3.095082749130673e-07,99999999.0,proxy,Research-only instrumentation; stop-hit labels are proxies where broker reason is unavailable.
DOTUSDT,Long1,long,2021-08-31 00:00:00+00:00,2021-09-03 00:00:00+00:00,2196,2214,18.0,26.690000000000005,30.950827491306725,79.05631987585949,0.15964134474734815,stop_hit_proxy:long_trailing_stop,latest trade.sl assignment before unmatched close; broker stop reason not exported,False,2213,2021-09-02 20:00:00+00:00,True,True,True,True,True,False,True,True,long_trailing_stop,3.095082749130673e-07,99999999.0,proxy,Research-only instrumentation; stop-hit labels are proxies where broker reason is unavailable.
DOTUSDT,Long1,long,2021-09-03 00:00:00+00:00,2021-09-05 20:00:00+00:00,2214,2231,17.0,32.75,34.42,25.291800469000055,0.05099236641221383,long_tp1_partial_close,position.close(portion=partial_exit_pct),True,2231,2021-09-05 20:00:00+00:00,True,False,False,True,False,False,True,True,long_breakeven_floor_stop,3.283311464968542e-07,104833184.54223666,exact,Research-only instrumentation; explicit strategy close event matched.
