symbol,base_population,comparison,failure_bucket,clean_count,failure_count,clean_avg,failure_avg,avg_delta_clean_minus_failure,clean_median,failure_median,median_delta_clean_minus_failure,supports_higher_clean_displacement,contradicts_higher_clean_displacement,sample_too_small_to_interpret
UNIUSDT,starter_short_signal,clean_followthrough_vs_failed_no_followthrough,failed_no_followthrough,19,0,0.379620430496656,,,0.3569538659493279,,,,False,True
ADAUSDT,starter_short_signal,clean_followthrough_vs_failed_no_followthrough,failed_no_followthrough,10,0,0.5283203604792597,,,0.5196434975178017,,,,False,True
XRPUSDT,starter_short_signal,clean_followthrough_vs_failed_no_followthrough,failed_no_followthrough,15,0,0.4500170381472496,,,0.4273247269463616,,,,False,True
LTCUSDT,starter_short_signal,clean_followthrough_vs_failed_no_followthrough,failed_no_followthrough,9,1,0.46182231153783143,0.5349605371743159,-0.07313822563648448,0.4510729217760267,0.5349605371743159,-0.0838876153982892,False,True,True
DOGEUSDT,starter_short_signal,clean_followthrough_vs_failed_no_followthrough,failed_no_followthrough,18,0,0.5157862104866817,,,0.5321386493515332,,,,False,True
NEARUSDT,starter_short_signal,clean_followthrough_vs_failed_no_followthrough,failed_no_followthrough,15,0,0.4370391060703388,,,0.3888556665220594,,,,False,True
ETCUSDT,starter_short_signal,clean_followthrough_vs_failed_no_followthrough,failed_no_followthrough,11,0,0.46204094094778725,,,0.4577378003945409,,,,False,True
AAVEUSDT,starter_short_signal,clean_followthrough_vs_failed_no_followthrough,failed_no_followthrough,7,0,0.44404755969149706,,,0.4045117122745947,,,,False,True
FILUSDT,starter_short_signal,clean_followthrough_vs_mixed_chop,mixed_chop,21,5,0.5150742679232289,0.4007229102361543,0.11435135768707455,0.4804791341172815,0.4572553414952646,0.023223792622016903,True,False,False
DOTUSDT,starter_short_signal,clean_followthrough_vs_mixed_chop,mixed_chop,33,7,0.4289939276471809,0.411427427248422,0.0175665003987589,0.3984395326581547,0.3431127338102341,0.05532679884792058,True,False,False
ATOMUSDT,starter_short_signal,clean_followthrough_vs_mixed_chop,mixed_chop,18,5,0.4302468616270365,0.5769976432199073,-0.1467507815928708,0.4420513341893152,0.5565283973121347,-0.11447706312281947,False,True,False
UNIUSDT,starter_short_signal,clean_followthrough_vs_mixed_chop,mixed_chop,19,0,0.379620430496656,,,0.3569538659493279,,,,False,True
