symbol,base_population,field,display_field,field_kind,is_major_candidate_field,expected_direction,observed_direction,supports_expected_direction,contradicts_expected_direction,sample_too_small_to_interpret,clean_count,adverse_dominant_count,clean_avg,clean_median,adverse_dominant_avg,adverse_dominant_median,delta_clean_minus_adverse,median_delta_clean_minus_adverse
ATOMUSDT,executed_short1,entry_short_squeeze_pass,entry_short_squeeze_pass,pre_entry_boolean,False,higher_clean,flat,False,True,False,7,7,1.0,1.0,1.0,1.0,0.0,0.0
ATOMUSDT,starter_short_signal,entry_short_ema20_gap_atr,entry_short_ema20_gap_atr,pre_entry_numeric,True,higher_clean,higher_clean,True,False,False,18,25,0.4302468616270365,0.4420513341893152,0.4037731093612243,0.3697185148750045,0.026473752265812223,0.07233281931431068
ATOMUSDT,starter_short_signal,entry_adx,entry_adx,pre_entry_numeric,True,lower_clean,higher_clean,False,True,False,18,25,27.999720906591993,25.21720026494226,25.209133775231457,25.80516042985799,2.7905871313605353,-0.5879601649157316
ATOMUSDT,starter_short_signal,entry_exec_distance_atr,entry_exec_distance_atr,pre_entry_numeric,True,lower_clean,lower_clean,True,False,False,18,25,1.2321782464807038,1.2442738825152597,1.2497827666490229,1.3154340542788454,-0.017604520168319038,-0.07116017176358569
ATOMUSDT,starter_short_signal,entry_atr_ratio,entry_atr_ratio,pre_entry_numeric,False,lower_clean,higher_clean,False,True,False,18,25,1.0054632283614038,0.9909053714824797,0.9928691010657584,0.979701026871944,0.012594127295645352,0.011204344610535655
ATOMUSDT,starter_short_signal,entry_plus_di,plus_di,pre_entry_numeric,True,lower_clean,lower_clean,True,False,False,18,25,15.985128520918131,15.304449909350598,16.661636786194304,17.150023772962115,-0.6765082652761727,-1.8455738636115164
ATOMUSDT,starter_short_signal,entry_minus_di,minus_di,pre_entry_numeric,False,higher_clean,higher_clean,True,False,False,18,25,27.294354483062243,25.651007481922043,23.05905526333332,23.155149152089137,4.2352992197289225,2.495858329832906
ATOMUSDT,starter_short_signal,entry_di_spread,di_spread,pre_entry_numeric,True,lower_clean,lower_clean,True,False,False,18,25,-11.309225962144115,-10.592561949746758,-6.397418477139018,-7.094647946722997,-4.911807485005097,-3.4979140030237605
ATOMUSDT,starter_short_signal,entry_rsi,entry_rsi,pre_entry_numeric,False,lower_clean,higher_clean,False,True,False,18,25,44.738811389842986,44.84451544928952,44.73249349548847,44.27190714692884,0.006317894354516795,0.5726083023606776
ATOMUSDT,starter_short_signal,entry_short_resumption_strong,entry_short_resumption_strong,pre_entry_boolean,True,higher_clean,lower_clean,False,True,False,18,25,0.3888888888888889,0.0,0.48,0.0,-0.09111111111111109,0.0
