symbol,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,direction,is_winner,is_loser
DOGEUSDT,-560028.44105674,1551,1606,0.001783,0.00198,5766.895800845272,,-111.3792964000259,1.0536935118482562,-0.11154318564217591,2020-03-28 20:00:00+00:00,2020-04-07 00:00:00+00:00,9 days 04:00:00,Short1,short,False,True
DOGEUSDT,-433113.67148306,2130,2152,0.0023029,0.0027814,8363.957715981094,,-208.34593172460472,1.101039919960661,-0.20888538364670606,2020-07-03 08:00:00+00:00,2020-07-07 00:00:00+00:00,3 days 16:00:00,Short1,short,False,True
DOGEUSDT,-380479.76144883,2630,2800,0.002616,0.0026574,4528.859527775411,,-16.75507311099371,1.00321098701213,-0.01683360091743116,2020-09-24 16:00:00+00:00,2020-10-23 00:00:00+00:00,28 days 08:00:00,Short1,short,False,True
DOGEUSDT,-395960.5255849,2875,2884,0.0025133,0.0026615,6163.305964352126,,-59.7058581555805,1.0245082638983702,-0.05999578243743274,2020-11-04 12:00:00+00:00,2020-11-06 00:00:00+00:00,1 days 12:00:00,Short1,short,False,True
DOGEUSDT,-14572.57344795,8511,8692,0.07142,0.06686,274037.71362768236,,65.44338719446063,1.007547728191263,0.06287958555026596,2023-06-01 20:00:00+00:00,2023-07-02 00:00:00+00:00,30 days 04:00:00,Short1,short,True,False
DOGEUSDT,-16093.761435190001,8758,8764,0.06471,0.07089,197559.40598921018,,-100.55060269477997,1.091157025305882,-0.09655076495132119,2023-07-13 00:00:00+00:00,2023-07-14 00:00:00+00:00,1 days 00:00:00,Short1,short,False,True
DOGEUSDT,-16617.509965600002,9042,9364,0.06261,0.06126,94283.31799768913,,21.40443297384057,1.0292054797194359,0.020572831816003882,2023-08-29 08:00:00+00:00,2023-10-22 00:00:00+00:00,53 days 16:00:00,Short1,short,True,False
BCHUSDT,-10.0014102,5694,5723,100.79999999999998,117.3,594010585.2354207,,-166.11392208231013,1.09065378231,-0.1647723214285715,2022-07-14 04:00:00+00:00,2022-07-19 00:00:00+00:00,4 days 20:00:00,Short1,short,False,True
BCHUSDT,-8.63191972,5982,5999,116.6,116.5,416811533.40556955,,-0.14285827136611784,1.006050243366,-0.00014193825042896802,2022-08-31 04:00:00+00:00,2022-09-03 00:00:00+00:00,2 days 20:00:00,Short1,short,False,True
BCHUSDT,-9.158147510000001,6246,6323,109.89999999999999,115.3,264984293.79466256,,-50.48520396362603,1.031207409626,-0.05016014558689726,2022-10-14 04:00:00+00:00,2022-10-27 00:00:00+00:00,12 days 20:00:00,Short1,short,False,True
BCHUSDT,-9.79528541,6412,6491,102.7,115.20000000000002,439388000.169253,,-123.50826397041958,1.0671963454195001,-0.12277458617332042,2022-11-10 20:00:00+00:00,2022-11-24 00:00:00+00:00,13 days 04:00:00,Short1,short,False,True
BCHUSDT,-9.37258718,6622,6773,107.2,107.4,221853361.25865465,,-2.880196040413942,1.005678604414,-0.0028666044776119734,2022-12-15 20:00:00+00:00,2023-01-10 00:00:00+00:00,25 days 04:00:00,Short1,short,False,True
BCHUSDT,-8.52896909,7416,7529,117.8,115.6,322979233.1778548,,17.768401305196964,0.9953306928030001,0.01768505942275038,2023-04-27 04:00:00+00:00,2023-05-16 00:00:00+00:00,18 days 20:00:00,Short1,short,True,False
BCHUSDT,-8.9244241,7591,7607,112.59999999999998,115.6,163445514.46583813,,-27.791549089810122,1.01827678981,-0.02765630550621683,2023-05-26 08:00:00+00:00,2023-05-29 00:00:00+00:00,2 days 16:00:00,Short1,short,False,True
BCHUSDT,-9.04241564,7664,7751,111.1,140.3,802440010.8847541,,-265.17516833394814,1.1366316459480001,-0.26395769576957717,2023-06-07 12:00:00+00:00,2023-06-22 00:00:00+00:00,14 days 12:00:00,Short1,short,False,True
DOTUSDT,-166.32496429,4816,4968,5.96,5.49,13389539.215367286,,77.22052279573968,0.95221042056025,0.07789848993288588,2022-11-10 16:00:00+00:00,2022-12-06 00:00:00+00:00,25 days 08:00:00,Short1,short,True,False
DOTUSDT,-185.43338439000001,4989,5172,5.35,4.904,9252165.448630063,,81.75257247617238,0.95071696176753,0.08240616822429896,2022-12-09 12:00:00+00:00,2023-01-09 00:00:00+00:00,30 days 12:00:00,Short1,short,True,False
DOTUSDT,-169.81113796,5828,6012,5.847,5.465,8872736.146659134,,63.9074029044183,0.96045179630176,0.06436531554643415,2023-04-28 08:00:00+00:00,2023-05-29 00:00:00+00:00,30 days 16:00:00,Short1,short,True,False
DOTUSDT,-189.13468081,6046,6054,5.253,5.263,8534357.840915553,,-2.885816959798997,0.99447015169898,-0.0029046259280411752,2023-06-03 16:00:00+00:00,2023-06-05 00:00:00+00:00,1 days 08:00:00,Short1,short,False,True
DOTUSDT,-192.05405655,6066,6162,5.173,4.876,15228544.054611903,,56.07507918821452,0.964975607135475,0.05644219988401309,2023-06-07 00:00:00+00:00,2023-06-23 00:00:00+00:00,16 days 00:00:00,Short1,short,True,False
DOTUSDT,-234.39191349,6620,6768,4.241,4.267,6195619.935478298,,-7.091292950726546,0.9971031999864601,-0.0071336948832824406,2023-09-07 08:00:00+00:00,2023-10-02 00:00:00+00:00,24 days 16:00:00,Short1,short,False,True
DOTUSDT,-247.07562207,6789,6888,4.023,3.872,9035888.981093137,,36.33308791444863,0.9753310181213249,0.036552945563012605,2023-10-05 12:00:00+00:00,2023-10-22 00:00:00+00:00,16 days 12:00:00,Short1,short,True,False
DOTUSDT,-145.94868294,8024,8142,6.813,7.207,18804553.092081845,,-58.52688134576931,1.0231002674094,-0.05885953324526633,2024-04-28 08:00:00+00:00,2024-05-18 00:00:00+00:00,19 days 16:00:00,Short1,short,False,True
DOTUSDT,-141.78390649,8243,8412,7.009,6.455,16734400.364439746,,77.59379493696925,0.9544892584906801,0.0780807533171636,2024-06-03 20:00:00+00:00,2024-07-02 00:00:00+00:00,28 days 04:00:00,Short1,short,True,False
DOTUSDT,-171.64980165,8434,8922,5.794,4.676,13321593.00350443,,191.00589153306208,0.8985867116377501,0.19205471177079722,2024-07-05 16:00:00+00:00,2024-09-25 00:00:00+00:00,81 days 08:00:00,Short1,short,True,False
DOTUSDT,-242.26794435,9007,9042,4.113,4.376,9328019.13245192,,-64.74477565384352,1.028306289793575,-0.0649755652808169,2024-10-09 04:00:00+00:00,2024-10-15 00:00:00+00:00,5 days 20:00:00,Short1,short,False,True
DOTUSDT,-203.10033264,9795,10008,4.903,4.598,13947478.7113822,,60.98077332499363,0.96482813020632,0.06123791556190082,2025-02-17 12:00:00+00:00,2025-03-25 00:00:00+00:00,35 days 12:00:00,Short1,short,True,False
DOTUSDT,-242.55365967,10056,10188,4.108,3.982,14100163.363655252,,29.580631565054674,0.9811295533651501,0.029687195715676577,2025-04-02 00:00:00+00:00,2025-04-24 00:00:00+00:00,22 days 00:00:00,Short1,short,True,False
DOTUSDT,-254.19691211,10269,10278,3.921,4.474,14519579.676488029,,-141.63788393541182,1.066991538581725,-0.14210596786534055,2025-05-07 12:00:00+00:00,2025-05-09 00:00:00+00:00,1 days 12:00:00,Short1,short,False,True
DOTUSDT,-242.28101787,10437,10650,4.108,3.642,9626103.539076263,,111.96411538317366,0.9388389442462499,0.11249391431353452,2025-06-04 12:00:00+00:00,2025-07-10 00:00:00+00:00,35 days 12:00:00,Short1,short,True,False
DOTUSDT,-276.24327779,10814,10830,3.607,4.0,11993026.268269464,,-109.61429947854415,1.050691307074265,-0.1100092874965343,2025-08-06 08:00:00+00:00,2025-08-09 00:00:00+00:00,2 days 16:00:00,Short1,short,False,True
DOTUSDT,-331.10908443,11273,11712,3.006,2.164,7872859.863564381,,277.9379321068084,0.8559169832515501,0.27924650698602793,2025-10-21 20:00:00+00:00,2026-01-03 00:00:00+00:00,73 days 04:00:00,Short1,short,True,False
DOTUSDT,-789.00545308,12244,12450,1.265,1.305,3531727.0361044933,,-32.57409013040782,1.0138720072078,-0.03263636363636368,2026-04-01 16:00:00+00:00,2026-05-06 00:00:00+00:00,34 days 08:00:00,Short1,short,False,True
AVAXUSDT,-255.07215768,103,114,3.9184999999999994,4.3432,21391090.04741218,,-109.38281018924873,1.053664822552428,-0.10943750159499845,2020-10-21 04:00:00+00:00,2020-10-23 00:00:00+00:00,1 days 20:00:00,Short1,short,False,True
AVAXUSDT,-306.06264934,402,486,3.2621,2.8718,26814504.527056593,,118.51757319500885,0.938678842393313,0.11870667668066592,2020-12-10 00:00:00+00:00,2020-12-24 00:00:00+00:00,14 days 00:00:00,Short1,short,True,False
AVAXUSDT,-71.21554095,5824,5970,14.17,13.35,43436557.32625303,,57.41681773552805,0.9799258434720001,0.05689767113620325,2023-06-01 16:00:00+00:00,2023-06-26 00:00:00+00:00,24 days 08:00:00,Short1,short,True,False
AVAXUSDT,-76.55027266,6159,6558,13.190000000000001,9.79,22277942.64876707,,259.3913644111367,0.8795626328634001,0.2568999241849887,2023-07-27 12:00:00+00:00,2023-10-02 00:00:00+00:00,66 days 12:00:00,Short1,short,True,False
AVAXUSDT,-58.4374964,10366,10440,17.34,19.49,55224804.52553924,,-126.71674375620584,1.0761264962060002,-0.1250527681660899,2025-06-27 16:00:00+00:00,2025-07-10 00:00:00+00:00,12 days 08:00:00,Short1,short,False,True
AVAXUSDT,-51.47709325,11111,11496,19.66,13.730000000000002,37940994.48367805,,304.39975290069117,0.8594100718087501,0.3007784842319429,2025-10-29 20:00:00+00:00,2026-01-02 00:00:00+00:00,64 days 04:00:00,Short1,short,True,False
AVAXUSDT,-86.09687274,11658,11868,11.79,9.45,36716401.98076636,,200.55233342310117,0.9143487884988,0.19757251908396947,2026-01-29 00:00:00+00:00,2026-03-05 00:00:00+00:00,35 days 00:00:00,Short1,short,True,False
