scope,candidate,market,family,trade_count,net_pnl,profit_factor,max_dd_pct,win_rate,avg_trade,median_trade,gross_profit,gross_loss,fees,avg_hold_bars,median_hold_bars,stop_loss_count,take_profit_count,time_stop_count,ema_touch_count
holdout,J_long_short_regime_switch,XRPUSDT,large_alts,26,-155.458411,0.826452,0.517657,34.615385,-5.97917,-36.064722,740.306516,895.764927,26.149006,5.0,3.5,13,8,3,0
holdout,K_liquidation_wick_bounce,AAVEUSDT,defi,16,149.858143,1.529463,0.217624,50.0,9.366134,-4.767412,432.896286,283.038143,16.082971,3.875,3.5,7,2,2,5
holdout,K_liquidation_wick_bounce,ADAUSDT,large_alts,45,-269.222244,0.703835,0.421855,35.555556,-5.982717,-23.365843,639.805613,909.027857,44.887833,4.177778,4.0,23,5,9,8
holdout,K_liquidation_wick_bounce,ATOMUSDT,other,35,283.081682,1.595669,0.119406,48.571429,8.088048,-15.150687,758.314837,475.233155,35.15912,3.6,3.0,17,4,2,12
holdout,K_liquidation_wick_bounce,AVAXUSDT,large_alts,27,3.069524,1.006207,0.182167,48.148148,0.113686,-17.09069,497.589719,494.520195,27.015042,4.444444,4.0,12,5,4,6
holdout,K_liquidation_wick_bounce,BCHUSDT,large_alts,33,364.406427,2.283048,0.114112,66.666667,11.042619,17.244364,648.422728,284.0163,33.198803,3.575758,3.0,9,6,5,13
holdout,K_liquidation_wick_bounce,BNBUSDT,large_alts,36,136.351605,1.353693,0.136538,52.777778,3.787545,14.008896,521.859969,385.508364,36.086219,4.388889,3.0,15,3,9,9
holdout,K_liquidation_wick_bounce,BTCUSDT,majors,49,-14.45502,0.97099,0.195828,48.979592,-0.295,-1.210732,483.827922,498.282942,49.017281,3.897959,3.0,23,9,10,7
holdout,K_liquidation_wick_bounce,DOGEUSDT,meme_high_beta,27,-132.60943,0.765275,0.279076,48.148148,-4.91146,-9.569748,432.347246,564.956676,26.947169,4.444444,4.0,12,3,7,5
holdout,K_liquidation_wick_bounce,DOTUSDT,other,31,48.900905,1.104806,0.209079,41.935484,1.577449,-10.266887,515.485829,466.584924,31.03997,3.935484,4.0,15,5,4,7
